index,Ikz2_0,Ikz2_995,Ikz2_4844,Ikz2_8757,Ikz2_12635,Ikz2_16102,Ikz2_19470,Uobr_0,Uobr_995,Uobr_4844,Uobr_8757,Uobr_12635,Uobr_16102,Uobr_19470,Uzp_0,Uzp_995,Uzp_4844,Uzp_8757,Uzp_12635,Uzp_16102,Uzp_19470,Iutz1_0,Iutz1_995,Iutz1_4844,Iutz1_8757,Iutz1_12635,Iutz1_16102,Iutz1_19470,Iutz2_0,Iutz2_995,Iutz2_4844,Iutz2_8757,Iutz2_12635,Iutz2_16102,Iutz2_19470,Usi_0,Usi_995,Usi_4844,Usi_8757,Usi_12635,Usi_16102,Usi_19470,Rsi_0,Rsi_995,Rsi_4844,Rsi_8757,Rsi_12635,Rsi_16102,Rsi_19470,Is_0,Is_995,Is_4844,Is_8757,Is_12635,Is_16102,Is_19470
3,1.830,1.825,1.820,1.805,1.790,1.790,1.790,0.698,0.694,0.689,0.685,0.683,0.681,0.679,2.782,2.658,2.597,2.307,2.289,2.257,2.125,17.460,19.695,20.255,14.680,12.590,12.475,12.195,18.900,17.735,17.495,17.255,14.708,12.160,12.000,3.860,3.880,3.890,3.910,3.940,3.890,3.840,490.000,490.564,491.128,495.500,499.872,505.964,500.930,6.264,6.188,6.178,6.168,6.158,6.148,6.060
4,1.825,1.825,1.820,1.805,1.790,1.790,1.790,0.699,0.695,0.691,0.686,0.684,0.682,0.680,2.790,2.720,2.650,2.300,2.158,2.123,2.123,18.310,19.625,19.875,16.873,13.870,12.745,12.420,19.380,18.150,16.630,15.630,14.630,14.005,12.385,3.970,3.980,3.990,4.030,4.070,4.000,3.970,509.300,499.841,490.382,495.337,500.291,518.473,508.530,6.196,6.104,6.090,6.076,6.062,6.048,5.970
5,1.825,1.825,1.820,1.805,1.790,1.790,1.790,0.698,0.697,0.696,0.695,0.694,0.696,0.696,2.887,2.869,2.861,2.832,2.818,2.821,2.828,17.880,21.265,21.140,15.375,13.145,11.720,10.290,21.090,19.105,17.120,15.713,14.305,12.385,12.000,3.760,3.780,3.790,3.820,3.840,3.790,3.750,505.900,498.596,491.291,495.191,499.091,507.364,502.660,6.228,6.152,6.142,6.132,6.122,6.112,6.080
6,1.825,1.825,1.820,1.805,1.790,1.790,1.790,0.698,0.698,0.696,0.694,0.692,0.693,0.693,2.913,2.842,2.852,2.683,2.667,2.623,2.626,18.460,19.760,20.910,17.235,13.560,13.905,12.780,20.220,18.275,17.890,17.505,16.155,14.805,13.985,3.780,3.790,3.800,3.830,3.850,3.790,3.760,495.300,493.623,491.946,495.964,499.982,495.600,491.720,6.364,6.256,6.255,6.254,6.253,6.252,6.160
8,1.825,1.825,1.825,1.805,1.790,1.790,1.790,0.698,0.695,0.691,0.686,0.686,0.686,0.685,2.703,2.663,2.623,2.281,2.230,2.221,2.215,22.620,22.575,20.000,15.435,13.700,12.420,11.790,19.760,19.695,18.885,18.075,16.345,16.015,15.000,4.040,4.050,4.100,4.110,4.130,4.070,4.020,508.600,500.155,491.710,495.964,500.218,518.382,518.260,6.112,6.052,6.036,6.020,6.004,5.988,5.940
9,1.825,1.825,1.825,1.805,1.795,1.795,1.790,0.693,0.680,0.683,0.646,0.644,0.642,0.642,2.465,2.386,2.307,1.929,1.846,1.800,1.793,20.100,19.955,18.435,16.310,15.420,13.560,13.565,20.800,16.880,16.308,15.735,15.368,15.000,13.875,3.920,3.930,3.950,3.970,4.000,3.950,3.880,508.600,500.019,491.437,495.846,500.254,518.255,515.210,6.080,6.060,6.041,6.022,6.003,5.984,5.920
10,1.825,1.825,1.820,1.805,1.795,1.790,1.790,0.696,0.695,0.691,0.690,0.688,0.689,0.690,2.817,2.795,2.773,2.544,2.528,2.494,2.520,20.290,19.680,19.450,15.935,14.298,12.660,12.155,19.140,17.895,17.360,17.285,17.210,16.283,15.355,3.690,3.710,3.730,3.750,3.770,3.710,3.660,493.900,492.932,491.964,495.964,499.963,494.091,488.920,6.352,6.276,6.275,6.274,6.273,6.272,6.240
11,1.830,1.825,1.820,1.805,1.800,1.800,1.795,0.698,0.694,0.691,0.684,0.676,0.676,0.674,2.492,2.448,2.404,2.024,1.946,1.815,1.752,19.230,19.520,16.893,14.265,12.905,12.360,12.210,21.650,19.295,16.940,16.910,15.605,14.300,14.025,4.350,4.410,4.470,4.500,4.530,4.480,4.430,511.300,503.841,496.382,500.618,504.854,522.109,521.020,5.824,5.648,5.640,5.632,5.624,5.616,5.540
12,1.830,1.825,1.820,1.810,1.805,1.805,1.790,0.700,0.699,0.700,0.699,0.698,0.699,0.698,3.239,3.220,3.204,3.153,3.139,3.135,3.144,21.310,21.020,20.790,15.235,14.635,14.445,14.215,22.940,21.970,17.175,15.905,15.828,15.750,15.710,3.860,3.890,3.890,3.960,4.020,3.880,3.840,490.000,491.219,492.437,496.782,501.127,518.546,517.280,6.112,6.012,6.007,6.002,5.997,5.992,5.930
13,1.825,1.825,1.820,1.810,1.805,1.805,1.790,0.698,0.696,0.693,0.690,0.691,0.689,0.687,2.799,2.702,2.711,2.456,2.458,2.371,2.369,18.430,19.195,17.035,14.875,14.585,14.395,14.190,22.290,20.555,18.820,18.100,17.380,15.890,14.400,3.940,3.970,3.980,4.000,4.030,3.960,3.920,509.500,501.350,493.200,497.118,501.036,519.218,517.680,6.000,5.940,5.933,5.926,5.919,5.912,5.860
